"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"EPTC","S-ethyl dipropylthiocarbamate ","759-94-4","Smulders CJ, Bueters TJ, Van Kleef RG, Vijverberg HP. 2003. Selective effects of carbamate pesticides on rat neuronal nicotinic acetylcholine receptors and rat brain acetylcholinesterase. Toxicol Appl Pharmacol 193(2):139-146. DOI: 10.1016/j.taap.2003.07.011. URL: https://www.sciencedirect.com/science/article/pii/S0041008X0300396X","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"equol"," ","531-95-3","Nishihara T, Nishikawa J, Kanayama T, Dakeyama F, Saito K, Imagawa M, Takatori S, Kitagawa Y, Hori S, Utsumi H. 2000. Estrogenic activities of 517 chemicals by yeast two-hybrid assay. Journal of Health Science 46(4):282-298. DOI: 10.1248/jhs.46.282. URL: https://www.jstage.jst.go.jp/article/jhs1999/46/4/46_4_282/_article","Biogenic compound, Medical/Veterinary/Research, Metabolite/Degradate, Personal care product/Cosmetic ingredient","PUBCHEM. Equol.  URL: http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91469&loc=ec_rcs  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"esfenvalerate","(S)-cyano(3-phenoxyphenyl)methyl (?S)-4-chloro-?-(1-methylethyl)benzeneacetate","66230-04-4","Barry MJ, O'Halloran K, Logan DC, Ahokas JT, Holdway DA. 1995. Sublethal effects of esfenvalerate pulse-exposure on spawning and non-spawning Australian crimson-spotted rainbowfish (Melanotaenia fluviatilis). Arch Environ Contam Toxicol 28(4):459-463. DOI: 10.1007/BF00211628. URL: https://link.springer.com/article/10.1007/BF00211628  Pine MD, Hiney JK, Lee B, Dees WL. 2008. The pyrethroid pesticide esfenvalerate suppresses the afternoon rise of luteinizing hormone and delays puberty in female rats. Environ Health Perspect 116(9):1243-1247. DOI: 10.1289/ehp.11119. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2535629/  Tanner DK, Knuth ML. 1996. Effects of esfenvalerate on the reproductive success of the bluegill sunfish, Lepomis macrochirus in littoral enclosures. Arch Environ Contam Toxicol 31(2):244-251. DOI: 10.1007/BF00212373. URL: https://link.springer.com/article/10.1007/BF00212373","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","09/18/2017",,,
"ethanol","ethyl alcohol","64-17-5","Badr FM, Bartke A, Dalterio S, Bulger W. 1977. Suppression of testosterone production by ethyl alcohol. Possible mode of action. Steroids 30(5):647-655. DOI: 10.1016/0039-128X(77)90054-X. URL: https://www.sciencedirect.com/science/article/pii/0039128X7790054X  Clark OH, Gerend PL. 1986. Effect of ethyl alcohol on the TSH-receptor-cyclase system in thyroid and nonthyroid tissues. World J Surg 10(5):787-796. DOI: 10.1007/BF01655240. URL: https://link.springer.com/article/10.1007/BF01655240  Furuya H, Aikawa H, Yoshida T, Okazaki I. 1996. Effects of ethyl alcohol administration to rat dams during the gestation period on learning behavior and on levels of monoamines and metabolites in rat pup brain after birth. Environ Health Prev Med 1(2):87-92. DOI: 10.1007/BF02931196. URL: https://link.springer.com/article/10.1007/BF02931196","Byproduct/Intermediate/Reactant, Household product ingredient, Medical/Veterinary/Research, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber, Solvent, Unconventional Oil and Gas","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Waxman HA, Markey EJ, and DeGette D. 2011. Chemicals used in hydraulic fracturing. United States House of Representatives Committee on Energy and Commerce Minority Staff. URL: https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/2079174","03/22/2017","03/22/2017",,,
"ethephon",,"76738-62-0","Long M, Laier P, Vinggaard AM, Andersen HR, Lynggaard J, Bonefeld-Jorgensen EC. 2003. Effects of currently used pesticides in the AhR-CALUX assay: comparison between the human TV101L and the rat H4IIE cell line. Toxicology 194(1-2):77-93.  DOI: 10.1016/j.tox.2003.08.001 Get . URL: https://www.sciencedirect.com/science/article/pii/S0300483X03003780?via%3Dihub","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","03/25/2015","03/25/2015",,,
"ethion"," ","563-12-2","Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US EPA. 2012. Pesticide Reregistration Status for Organophosphates. URL: https://archive.epa.gov/pesticides/reregistration/web/html/status_page_m.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","05/05/2011",,,
"ethiozin","ethyl metribuzin; ebuzin; Tycor","64529-56-2","Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html","05/05/2011","05/05/2011",,,
"ethoxyquin"," ","91-53-2","Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/","Food additives and contact material, Industrial additive, Medical/Veterinary/Research, Pesticide ingredient, Plastic/Rubber","US EPA. 1981. 6-ethoxy-1,2-dihydro-2,2,4-trimethylquinoline. Ethoxyquin. Pesticide Registration Standard.  URL: http://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100BC9P.txt  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"ethyl paraben","ethyl-p-hydroxybenzoate; ethyl-4-hydroxybenzoate","120-47-8","Byford JR, Shaw LE, Drew MG, Pope GS, Sauer MJ, Darbre PD. 2002. Oestrogenic activity of parabens in MCF7 human breast cancer cells. Journal of Steroid Biochemistry & Molecular Biology 80(1):49-60. DOI: 10.1016/S0960-0760(01)00174-1. URL: http://www.sciencedirect.com/science/article/pii/S0960076001001741?via%3Dihub  Gomez E, Pillon A, Fenet H, Rosain D, Duchesne MJ, Nicolas JC, Balaguer P, Casellas C. 2005. Estrogenic activity of cosmetic components in reporter cell lines: parabens, UV screens, and musks. J Toxicol Environ Health A 68(4):239-251. DOI: 10.1080/15287390590895054. URL: http://www.tandfonline.com/doi/abs/10.1080/15287390590895054  Lemini C, Hern?ndez A, Jaimez R, Franco Y, Avila ME, Castell A. 2004. Morphometric analysis of mice uteri treated with the preservatives methyl, ethyl, propyl, and butylparaben. Toxicol Ind Health 20(6-10):123-132. DOI: 10.1191/0748233704th202oa. URL: http://journals.sagepub.com/doi/abs/10.1191/0748233704th202oa?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed  Song BL, Li HY, Peng DR. 1989. In vitro spermicidal activity of parabens against human spermatozoa. Contraception 39(3):331-335. DOI: 10.1016/0010-7824(89)90065-6. URL: http://www.contraceptionjournal.org/article/0010-7824(89)90065-6/pdf  Taxvig C, Vinggaard AM, Hass U, Axelstad M, Boberg J, Hansen PR, Frederiksen H, Nellemann C. 2008. Do parabens have the ability to interfere with steroidogenesis? Toxicol Sci 106(1):206-213. DOI: 10.1093/toxsci/kfn148. URL: https://academic.oup.com/toxsci/article/106/1/206/1706300","Antimicrobial, Food additives and contact material, Household product ingredient, Medical/Veterinary/Research, Personal care product/Cosmetic ingredient, Pesticide ingredient","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","09/17/2013",,,
"ethyl salicylate",,"118-61-6","Zhang Z, Jia C, Hu Y, Sun L, Jiao J, Zhao L, Zhu D, Li J, Tian Y, Bai H, Li R, Hu J. 2012. The estrogenic potential of salicylate esters and their possible risks in foods and cosmetics. Toxicol Lett 209(2):146-153. DOI: 10.1016/j.toxlet.2011.12.004. URL: https://www.sciencedirect.com/science/article/pii/S0378427411016560?via%3Dihub","Food additives and contact material, Personal care product/Cosmetic ingredient","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  Zhang Z, Jia C, Hu Y, Sun L, Jiao J, Zhao L, Zhu D, Li J, Tian Y, Bai H, Li R, Hu J. 2012. The estrogenic potential of salicylate esters and their possible risks in foods and cosmetics. Toxicol Lett 209(2):146-153. DOI: 10.1016/j.toxlet.2011.12.004. URL: https://www.sciencedirect.com/science/article/pii/S0378427411016560?via%3Dihub","10/26/2015","10/26/2015",,,
"ethyl-4-aminobenzoate","benzocaine; et-PABA","94-09-7","Kunz PY, Fent K. 2006. Multiple hormonal activities of UV filters and comparison of in vivo and in vitro estrogenic activity of ethyl-4-aminobenzoate in fish. Aquat Toxicol 79(4):305-324. DOI: 10.1016/j.aquatox.2006.06.016. URL: https://www.sciencedirect.com/science/article/pii/S0166445X06002700","Medical/Veterinary/Research, Personal care product/Cosmetic ingredient","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","01/20/2017","01/20/2017",,,
"ethyl-4'-hydroxy-4-biphenyl carboxylate"," ","50670-76-3","Schultz TW, Sinks GD, Cronin MTD. 2000. Effect of substituent size and dimensionality on potency of phenolic xenoestrogens evaluated with a recombinant yeast assay.  Environ Toxicol Chem 19(11):2637-2642. DOI: 10.1002/etc.5620191104. URL: http://onlinelibrary.wiley.com/doi/10.1002/etc.5620191104/abstract","Medical/Veterinary/Research","Santa Cruz Biotechnology.  URL: https://www.scbt.com/scbt/product/ethyl-4prime-hydroxy-4-biphenylcarboxylate-50670-76-3?requestFrom=search  Schultz TW, Sinks GD, Cronin MTD. 2000. Effect of substituent size and dimensionality on potency of phenolic xenoestrogens evaluated with a recombinant yeast assay. EnvironToxicol Chem 19(11):2637-2642. DOI: 10.1002/etc.5620191104. URL: http://onlinelibrary.wiley.com/doi/10.1002/etc.5620191104/abstract","05/05/2011","05/05/2011",,,
"ethylbenzene",,"100-41-4","National Toxicology Program. 1999. NTP Toxicology and Carcinogenesis Studies of Ethylbenzene (CAS No. 100-41-4) in F344/N Rats and B6C3F1 Mice (Inhalation Studies). Natl Toxicol Program Tech Rep Ser 466:1-231. URL: https://ntp.niehs.nih.gov/results/pubs/longterm/reports/longterm/tr400499/abstracts/tr466/index.html","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Pesticide ingredient, Solvent, Unconventional Oil and Gas","Ferrar KJ, Michanowicz DR, Christen CL, Mulcahy N, Malone SL, Sharma RK. 2013. Assessment of effluent contaminants from three facilities discharging Marcellus Shale wastewater to surface waters in Pennsylvania. Environ Sci Technol 47(7):3472-3481. DOI: 10.1021/es301411q. URL: https://pubs.acs.org/doi/abs/10.1021/es301411q  Getzinger GJ, O'Connor MP, Hoelzer K, Drollette BD, Karatum O, Deshusses MA, Ferguson PL, Elsner M, Plata DL. 2015. Natural Gas Residual Fluids: Sources, Endpoints, and Organic Chemical Composition after Centralized Waste Treatment in Pennsylvania. Environ Sci Technol 49(14):8347-8355. DOI: 10.1021/acs.est.5b00471. URL: https://pubs.acs.org/doi/abs/10.1021/acs.est.5b00471  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Ziemkiewicz PF, Quaranta JD, Darnell A, Wise R. 2014. Exposure pathways related to shale gas development and procedures for reducing environmental and public risk. J Nat Gas Sci Eng 16(0):77-84. DOI: 10.1016/j.jngse.2013.11.003. URL: https://www.sciencedirect.com/science/article/pii/S1875510013001042","05/05/2011","03/20/2017",,,
"ethylene dibromide","dibromoethane (EDB); 1,2-dibromoethane","106-93-4","Schrader SM, Turner TW, Ratcliffe JM. 1988. The effects of ethylene dibromide on semen quality: a comparison of short-term and chronic exposure. Reprod Toxicol 2(3-4):191-198. DOI: 10.1016/0890-6238(88)90021-4. URL: https://www.sciencedirect.com/science/article/pii/0890623888900214","Byproduct/Intermediate/Reactant, Industrial additive, Pesticide ingredient, Solvent","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","04/27/2015",,,
"ethylene glycol","1,2-ethanediol","107-21-1","Kassotis CD, Klemp KC, Vu DC, Lin CH, Meng CX, Besch-Williford CL, Pinatti L, Zoeller RT, Drobnis EZ, Balise VD, et al. 2015 in press. Endocrine-disrupting activity of hydraulic fracturing chemicals and adverse health outcomes after prenatal exposure in male mice. Endocrinology:en20151375. DOI: 10.1210/en.2015-1375. URL: https://academic.oup.com/endo/article/156/12/4458/2422671  Kassotis CD, Tillitt DE, Davis JW, Hormann AM, Nagel SC. 2014. Estrogen and androgen receptor activities of hydraulic fracturing chemicals and surface and ground water in a drilling-dense region. Endocrinology 155(3):897-907.  DOI: 10.1210/en.2013-1697. URL: https://academic.oup.com/endo/article/155/3/897/2843268  Kassotis CD, Tillitt DE, Davis JW, Hormann AM, Nagel SC. 2014. Estrogen and androgen receptor activities of hydraulic fracturing chemicals and surface and ground water in a drilling-dense region. Endocrinology 155(3):897-907. DOI: 10.1210/en.2013-1697. URL: https://academic.oup.com/endo/article/155/3/897/2843268  Ren L, Meldahl A, Lech JJ. 1996. Dimethyl formamide (DMFA) and ethylene glycol (EG) are estrogenic in rainbow trout. Chem Biol Interact 102(1):63-67. DOI: 10.1016/0009-2797(96)03727-1. URL: https://www.sciencedirect.com/science/article/pii/0009279796037271?via%3Dihub","Byproduct/Intermediate/Reactant, Food additives and contact material, Household product ingredient, Industrial additive, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber, Solvent","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","11/02/2015",,,
"ethylene glycol monobutyl ether","EGBE; 2-butoxyethanol; 2-BE","111-76-2","Kassotis CD, Klemp KC, Vu DC, Lin CH, Meng CX, Besch-Williford CL, Pinatti L, Zoeller RT, Drobnis EZ, Balise VD, et al. 2015 in press. Endocrine-disrupting activity of hydraulic fracturing chemicals and adverse health outcomes after prenatal exposure in male mice. Endocrinology:en20151375. DOI: 10.1210/en.2015-1375. URL: https://academic.oup.com/endo/article/156/12/4458/2422671  Kassotis CD, Tillitt DE, Davis JW, Hormann AM, Nagel SC. 2014. Estrogen and androgen receptor activities of hydraulic fracturing chemicals and surface and ground water in a drilling-dense region. Endocrinology 155(3):897-907.  DOI: 10.1210/en.2013-1697. URL: https://academic.oup.com/endo/article/155/3/897/2843268  National Toxicology Program. 2000. NTP toxicology and carcinogenesis studies of 2-butoxyethanol (Cas No. 111-76-2) in F344/N rats and B6C3F1 mice (inhalation studies). Natl Toxicol Program Tech Rep Ser 484:1-290. URL: https://ntp.niehs.nih.gov/ntp/htdocs/lt_rpts/tr484.pdf","Household product ingredient, Industrial additive, Pesticide ingredient, Solvent, Unconventional Oil and Gas","Ferrar KJ, Michanowicz DR, Christen CL, Mulcahy N, Malone SL, Sharma RK. 2013. Assessment of effluent contaminants from three facilities discharging Marcellus Shale wastewater to surface waters in Pennsylvania. Environ Sci Technol 47(7):3472-3481. DOI: 10.1021/es301411q. URL: https://pubs.acs.org/doi/abs/10.1021/es301411q  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","08/27/2015","03/20/2017",,,
"ethylene glycol monoethyl ether","EGEE; 2-ethoxyethanol; 2-EE","110-80-5","Tonkin EG, Cooper M, Lollini LO, Day-Lollini PA, Allard J, Kolaja KL, Platz SJ, Chanda SM. 2009. Testicular gene expression profiling following 2-methoxyethanol and 2-ethoxyethanol exposure in male rats reveals abnormal expression of the actin binding protein cortactin in degenerating spermatocytes. Toxicol Lett 190(2):193-201. DOI: 10.1016/j.toxlet.2009.07.017. URL: https://www.sciencedirect.com/science/article/pii/S0378427409013447","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Plastic/Rubber, Solvent","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","02/19/2015","02/19/2015",,,
"ethylene glycol monomethyl ether","EGME; 2-methoxyethanol; 2-ME","109-86-4","Creasy DM, Flynn JC, Gray TJ, Butler WH. 1985. A quantitative study of stage specific spermatocyte damage following administration of ethylene glycol monomethyl ether in the rat. Experimental & Molecular Pathology 43(3):321-336. DOI: 10.1016/0014-4800(85)90069-3. URL: http://www.sciencedirect.com/science/article/pii/0014480085900693  Linder RE, Strader LF, Slott VL, Suarez JD. 1992. Endpoints of spermatotoxicity in the rat after short duration exposures to fourteen reproductive toxicants. Reprod Toxicol 6(6):491-505. DOI: 10.1016/0890-6238(92)90034-Q. URL: https://www.sciencedirect.com/science/article/pii/089062389290034Q  Nagano K, Nakayama E, Oobayashi H, Nishizawa T, Okuda H, Yamazaki K. 1984. Experimental studies on toxicity of ethylene glycol alkyl ethers in Japan. Environ Health Perspect 57:75-84. DOI: 10.2307/3429901. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1568303/","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Personal care product/Cosmetic ingredient, Pesticide ingredient, Solvent","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","04/24/2015",,,
"ethylene oxide"," ","75-21-8","Kunz PY, Fent K. 2006. Multiple hormonal activities of UV filters and comparison of in vivo and in vitro estrogenic activity of ethyl-4-aminobenzoate in fish. Aquat Toxicol 79(4):305-324. DOI: 10.1016/j.aquatox.2006.06.016. URL: https://www.sciencedirect.com/science/article/pii/S0166445X06002700  Mori K, Kaido M, Fujishiro K, Inoue N. 1989. Testicular toxicity and alterations of glutathione metabolism resulting from chronic inhalation of ethylene oxide in rats. Toxicol Appl Pharmacol 101(2):299-309. DOI: 10.1016/0041-008X(89)90278-0. URL: https://www.sciencedirect.com/science/article/pii/0041008X89902780","Antimicrobial, Byproduct/Intermediate/Reactant, Medical/Veterinary/Research, Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","04/27/2015",,,
"ethylene thiourea","ETU; 2-imidazolidinethione","96-45-7","Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/","Byproduct/Intermediate/Reactant, Industrial additive, Metabolite/Degradate, Plastic/Rubber","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"etofenprox","ethofenprox; 1-[[2-(4-ethoxyphenyl)-2-methylpropoxy]methyl]-3-phenoxybenzene","80844-07-1","Du G, Shen O, Sun H, Fei J, Lu C, Song L, Xia Y, Wang S, Wang X. 2010. Assessing hormone receptor activities of pyrethroid insecticides and their metabolites in reporter gene assays. Toxicol Sci 116(1):58-66. DOI: 10.1093/toxsci/kfq120. URL: https://academic.oup.com/toxsci/article/116/1/58/1661806  Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/  Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html","05/05/2011","09/10/2013",,,
"etridiazole","terrazole; ethazole","2593-15-9","Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"everzol blue ED","C.I. reactive blue 19; remazol brilliant blue R; cavalite brilliant blue R; remalan brilliant blue R ","2580-78-1","Bazin, I., Hassine, A.I.H., Hamouda, Y.H., Mnif, W., Bartegi, A., Lopez-Ferber, M., De Waard, M. and Gonzalez, C., 2012. Estrogenic and anti-estrogenic activity of 23 commercial textile dyes. Ecotoxicology and environmental safety, 85, pp.131-136. DOI: https://doi.org/10.1016/j.ecoenv.2012.08.003. URL: https://www.sciencedirect.com/science/article/pii/S0147651312002631","Household product ingredient","Bazin, I., Hassine, A.I.H., Hamouda, Y.H., Mnif, W., Bartegi, A., Lopez-Ferber, M., De Waard, M. and Gonzalez, C., 2012. Estrogenic and anti-estrogenic activity of 23 commercial textile dyes. Ecotoxicology and environmental safety, 85, pp.131-136. DOI: https://doi.org/10.1016/j.ecoenv.2012.08.003. URL: https://www.sciencedirect.com/science/article/pii/S0147651312002631  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","06/20/2018",,,,
"everzol navy blue FBN",,"93912-64-2","Bazin, I., Hassine, A.I.H., Hamouda, Y.H., Mnif, W., Bartegi, A., Lopez-Ferber, M., De Waard, M. and Gonzalez, C., 2012. Estrogenic and anti-estrogenic activity of 23 commercial textile dyes. Ecotoxicology and environmental safety, 85, pp.131-136. DOI: https://doi.org/10.1016/j.ecoenv.2012.08.003. URL: https://www.sciencedirect.com/science/article/pii/S0147651312002631","Household product ingredient","Bazin, I., Hassine, A.I.H., Hamouda, Y.H., Mnif, W., Bartegi, A., Lopez-Ferber, M., De Waard, M. and Gonzalez, C., 2012. Estrogenic and anti-estrogenic activity of 23 commercial textile dyes. Ecotoxicology and environmental safety, 85, pp.131-136. DOI: https://doi.org/10.1016/j.ecoenv.2012.08.003. URL: https://www.sciencedirect.com/science/article/pii/S0147651312002631","06/20/2018",,,,
"FD&C Green  No. 3","Fast Greem 143","2353-45-9","van Hooft JA. 2002. Fast Green FCF (Food Green 3) inhibits synaptic activity in rat hippocampal interneurons. Neurosci Lett 318(3):163-165.  DOI: 10.1016/S0304-3940(01)02452-1. URL: https://www.sciencedirect.com/science/article/pii/S0304394001024521?via%3Dihub","Food additives and contact material, Medical/Veterinary/Research, Personal care product/Cosmetic ingredient","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","08/12/2014","08/12/2014",,,
"FD&C Red No. 3","erythrosine","16423-68-0","Borzelleca JF, Capen CC, Hallagan JB. 1987. Lifetime toxicity/carcinogenicity study of FD & C Red No. 3 (erythrosine) in rats. Food Chem Toxicol 25(10):723-733.  DOI: 10.1016/0278-6915(87)90226-2. URL: https://www.sciencedirect.com/science/article/pii/0278691587902262  Collins TFX, Long EL. 1976. Effects of chronic oral administration of erythrosine in the Mongolian gerbil. Food Cosmet Toxicol 14(4):233-248. DOI: 10.1016/S0015-6264(76)80285-4. URL: https://www.sciencedirect.com/science/article/pii/S0015626476802854  Dalal A, Poddar MK. 2010. Involvement of high plasma corticosterone status and activation of brain regional serotonin metabolism in long-term erythrosine-induced rearing motor hyper activity in young adult male rats. Toxicol Mech Methods 20(6):287-297.  DOI: 10.3109/15376516.2010.483070. URL: http://www.tandfonline.com/doi/full/10.3109/15376516.2010.483070","Food additives and contact material, Medical/Veterinary/Research","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","08/12/2014","08/12/2014",,,
